run_order,stage,task,kind,status,returncode,seconds,artefacts_changed,artefacts_volatile,note
0,collect,2,collect,ok,0,1.7,0,1,
1,preprocess,3,transform,ok,0,0.72,0,1,
2,features,4,transform,ok,0,0.69,0,1,
3,trends,5,analyse,ok,0,1.49,0,1,
4,competitor-set,6,transform,ok,0,7.46,0,1,
5,comparison,6,analyse,ok,0,3.9,0,2,
6,forecast,7,analyse,ok,0,2.36,0,1,
7,similarity,8,analyse,ok,0,5.36,0,1,
8,insights,9,analyse,ok,0,3.02,0,1,
9,presentation,10,publish,ok,0,2.22,1,1,
10,tests,11,gate,ok,0,5.42,0,0,
